id,title,title_fr,slug,path,country,latlng,source,type
locations:lbn_a3_0114,"Aarab Ej-Jall",,[lbn],"[lbn,lbn_a1_09,lbn_a2_21]",,"{""lat"":33.48079384, ""lng"":35.45432417}",OCHA,node
locations:lbn_a3_0115,"Aarab El-Lahib",,[lbn],"[lbn,lbn_a1_05,lbn_a2_16]",,"{""lat"":34.15196588, ""lng"":35.89856159}",OCHA,node
locations:lbn_a3_0116,"Aarab Salim",,[lbn],"[lbn,lbn_a1_07,lbn_a2_13]",,"{""lat"":33.42436495, ""lng"":35.50854412}",OCHA,node
locations:lbn_a3_0117,"Aarab Tabbaya",,[lbn],"[lbn,lbn_a1_09,lbn_a2_21]",,"{""lat"":33.48683421, ""lng"":35.4394998}",OCHA,node
locations:lbn_a3_0118,Aaraiya,,[lbn],"[lbn,lbn_a1_06,lbn_a2_03]",,"{""lat"":33.83201095, ""lng"":35.58789544}",OCHA,node
locations:lbn_a3_0119,"Aaramoun Aaley",,[lbn],"[lbn,lbn_a1_06,lbn_a2_02]",,"{""lat"":33.76457919, ""lng"":35.49808797}",OCHA,node
locations:lbn_a3_0120,"Aaramoun Kesrouane",,[lbn],"[lbn,lbn_a1_05,lbn_a2_18]",,"{""lat"":34.01885317, ""lng"":35.69987384}",OCHA,node
locations:lbn_a3_0121,Aaramta,,[lbn],"[lbn,lbn_a1_09,lbn_a2_17]",,"{""lat"":33.4566604, ""lng"":35.57718219}",OCHA,node
locations:lbn_a3_0122,Aarasta,,[lbn],"[lbn,lbn_a1_05,lbn_a2_16]",,"{""lat"":34.08145635, ""lng"":35.88148639}",OCHA,node
locations:lbn_a3_0123,Aaray,,[lbn],"[lbn,lbn_a1_09,lbn_a2_17]",,"{""lat"":33.56548601, ""lng"":35.59282491}",OCHA,node
locations:lbn_a3_0124,Aarbaniyeh,,[lbn],"[lbn,lbn_a1_06,lbn_a2_03]",,"{""lat"":33.8745272, ""lng"":35.6740654}",OCHA,node
locations:lbn_a3_0125,"Aarbet Qozhaiya",,[lbn],"[lbn,lbn_a1_08,lbn_a2_26]",,"{""lat"":34.28292842, ""lng"":35.93534043}",OCHA,node
locations:lbn_a3_0126,Aardat,,[lbn],"[lbn,lbn_a1_08,lbn_a2_26]",,"{""lat"":34.40908915, ""lng"":35.8833553}",OCHA,node
locations:lbn_a3_0127,"AAridet Cheikh Zennad",,[lbn],"[lbn,lbn_a1_01,lbn_a2_01]",,"{""lat"":34.6353301, ""lng"":35.98596834}",OCHA,node
locations:lbn_a3_0128,Aarjis,,[lbn],"[lbn,lbn_a1_08,lbn_a2_26]",,"{""lat"":34.33816948, ""lng"":35.88069616}",OCHA,node
locations:lbn_a3_0129,Aarmeh,,[lbn],"[lbn,lbn_a1_01,lbn_a2_01]",,"{""lat"":34.62717159, ""lng"":36.16398196}",OCHA,node
locations:lbn_a3_0130,Aarqa,,[lbn],"[lbn,lbn_a1_01,lbn_a2_01]",,"{""lat"":34.54215358, ""lng"":36.04268907}",OCHA,node
locations:lbn_a3_0131,Aarsal,,[lbn],"[lbn,lbn_a1_02,lbn_a2_04]",,"{""lat"":34.14889413, ""lng"":36.46960858}",OCHA,node
locations:lbn_a3_0132,Aartiz,,[lbn],"[lbn,lbn_a1_08,lbn_a2_09]",,"{""lat"":34.2344827, ""lng"":35.75103947}",OCHA,node
locations:lbn_a3_0133,Aasaymout,,[lbn],"[lbn,lbn_a1_08,lbn_a2_12]",,"{""lat"":34.43983954, ""lng"":36.0980038}",OCHA,node
